iter	Passed	Remaining
407	6255	9076
408	6270	9060
409	6285	9044
410	6300	9029
411	6314	9011
412	6336	9005
413	6351	8990
414	6369	8978
415	6385	8964
416	6397	8944
417	6415	8932
418	6429	8915
419	6445	8901
420	6460	8884
421	6473	8865
422	6487	8848
423	6501	8832
424	6513	8813
425	6527	8795
426	6549	8789
427	6566	8775
428	6578	8755
429	6593	8740
430	6608	8724
431	6623	8708
432	6640	8695
433	6656	8681
434	6671	8665
435	6685	8647
436	6696	8627
437	6708	8608
438	6722	8590
439	6734	8571
440	6748	8554
441	6764	8540
442	6777	8522
443	6790	8503
444	6806	8488
445	6820	8471
446	6833	8454
447	6850	8440
448	6865	8425
449	6879	8408
450	6892	8390
451	6902	83453452	6915	83454453	6930	83455454	6945	83456455	6961	83457456	6975	82458457	6989	82459458	7004	82460459	7018	82461460	7033	82462461	7047	82463462	7059	81464463	7072	81465464	7085	81466465	7101	81467466	7122	81468467	7138	8114
468	7153	8099
469	7167	80471470	7181	80472471	7195	80473472	7210	80474473	7227	80475474	7242	80476475	7256	79477476	7273	79478477	7286	79479478	7300	79480479	7314	79481480	7329	79482481	7339	78483482	7355	78484483	7372	78485484	7383	78486485	7399	78487486	7414	78488487	7427	77489488	7442	77490489	7462	77491490	7481	77492491	7495	77493492	7511	77494493	7525	77495494	7541	76496495	7557	76497496	7570	76498497	7588	76499498	7604	76500499	7623	76501500	7637	76502501	7653	75503502	7669	75504503	7684	75505504	7701	7548
505	7717	7534
506	7731	7518
507	7747	7503
508	7760	74510509	7777	74511510	7797	74512511	7812	74513512	7824	74514513	7838	74515514	7854	73516515	7868	73517516	7879	73518517	7894	73519	7886	7280
520519	7928	73521520	7945	73522521	7960	72523522	7978	72524	7975	7215
525	8001	7210
526	8018	7196
527	8031	7179
528	8049	7167
529	8067	7154
530	8082	7138
531	8098	7124
532	8115	7110
533	8131	7096
534	8146	7080
535	8162	7065
536	8172	7046
537	8186	7030
538	8202	7015
539	8215	6998
540	8228	6981
541	8244	6966
542	8257	6949
543	8274	6936
544	8287	6918
545	8303	6904
546	8314	6886
547	8330	6871
548	8345	6856
549548	8378	68550549	8395	68551550	8412	68552551	8427	68553	8418	6777
554	8432	6761
555	8451	6748
556	8467	6734
557	8481	6718
558	8493	6700
559	8508	6684
560	8525	6671
561	8540	6655
562	8552	6638
563	8564	6620
564	8582	6607
565	8596	6591
566	8611	6576
567	8629	6563
568	8642	6546
569	8659	6532
570	8671	6515
571	8686	6499
572	8702	6485
573	8717	6470
574	8733	6455
575	8744	6436
576	8762	6423
577	8776	6407
578	8791	6392
579	8807	6377
580	8821	6361
581	8837	6346
582	8853	6332
583	8867	6316
584	8877	6297
585	8894	6284
586	8907	6267
587	8922	6252
588	8941	6239
589	8952	6221
590	8967	6205
591	8982	6190
592	8998	6176
593	9015	6162
594	9031	6147
595	9047	6132
596	9058	6114
597	9079	6103
598	9093	6087
599	9108	6072
600	9121	6056
601	9132	6037
602	9144	6020
603	915603	919604	916604	921605	918605	922606	920606	924607	921607	925608	923608	927609	9247	5912
610	926610	930611	927611	932612	929612	933613	930613	934614	932614	936615	9335	5819
616	9352	5805
617	9366	5789
618	9380	5773
619	9396	5758
620	9409	5742
621	9424	5727
622	9441	5713
623	9458	5699
624	9468	5681
625	9488	5669
626	9505	5654
627	9516	5636
628	9530	5621
629	9545	5606
630	9558	5589
631	9578	5577
632	9591	5561
633	9604	5544
634	9617	5528
635	9634	5514
636	9646	5497
637	9657	5479
638	966638	971639	967639	972640	969640	974641	970641	9759	5641	642	9773	5642	643	9789	5643	644	980645644	645	9817	5645	647	979647646	648	9812	5647	649	9830	5648	650	9842	5649	651	9859	5650	651	9905	5651	652	9922	5652	653	9936	5653	655	9917	5654	656	992656655	657	9945	5656	658	9960	5657	659	9976	5658	660	9991	5123
66660	10035660	662	10017	5661	663	1663	10662	664	10058	5663	665	1665	10664	665	10094	5665	666	1667	10149	667	1668	10166	668	1669	10181	669	10160	5004
670	10173	4988
671	10193	4975
672	10208	4960
673	1674	10260	674	1675	10674	675	1676	10675	676	10264	4676	677	10280	4677	678	10298	4868
679	10312	4853
680	10328	4680	681	10344	4823
682	10360	4808
683	10376	4793
684	10394	4779
685	10408	4764
686	10421	4748
687	10434	4731
688	10451	4717
689	10464	4701
690	10481	4687
691	10501	4674
692	10520	4660
693	10537	4646
694	10556	4632
695	10571	4617
696	10584	4601
697	10598	4585
698	10610	4568
699	10623	4552
700	10639	4537
701	10659	4524
702	10674	4509
703	10688	4494
704	10699	4476
